Entity,Day,Daily new confirmed cases of COVID-19
Indonesia,1-févr.-22,16021
Indonesia,2-févr.-22,17895
Indonesia,3-févr.-22,27197
Indonesia,4-févr.-22,32211
Indonesia,5-févr.-22,33729
Indonesia,6-févr.-22,36057
Indonesia,7-févr.-22,26121
Indonesia,8-févr.-22,37492
Indonesia,9-févr.-22,46843
Indonesia,10-févr.-22,40618
Indonesia,11-févr.-22,40489
Indonesia,12-févr.-22,55209
Indonesia,13-févr.-22,44526
Indonesia,14-févr.-22,36501
Indonesia,15-févr.-22,57049
Indonesia,16-févr.-22,64718
Indonesia,17-févr.-22,63956
Indonesia,18-févr.-22,59635
Indonesia,19-févr.-22,59384
Indonesia,20-févr.-22,48484
Indonesia,21-févr.-22,34418
Indonesia,22-févr.-22,57491
Indonesia,23-févr.-22,61488
Indonesia,24-févr.-22,57426
Indonesia,25-févr.-22,49447
Indonesia,26-févr.-22,46643
Indonesia,27-févr.-22,34976
Indonesia,28-févr.-22,25054
Indonesia,1-mars-22,24728
Indonesia,2-mars-22,40920
Indonesia,3-mars-22,37259
Indonesia,4-mars-22,26347
Indonesia,5-mars-22,30156
Indonesia,6-mars-22,24867
Indonesia,7-mars-22,21380
Indonesia,8-mars-22,30148
Indonesia,9-mars-22,26336
Indonesia,10-mars-22,21311
Indonesia,11-mars-22,16110
Indonesia,12-mars-22,14900
Indonesia,13-mars-22,11585
Indonesia,14-mars-22,9629
Indonesia,15-mars-22,14408
Indonesia,16-mars-22,13018
Indonesia,17-mars-22,11532
Indonesia,18-mars-22,9528
Indonesia,19-mars-22,7951
Indonesia,20-mars-22,5922
Indonesia,21-mars-22,4699
Indonesia,22-mars-22,7464
Indonesia,23-mars-22,6376
Indonesia,24-mars-22,5808
Indonesia,25-mars-22,4857
Indonesia,26-mars-22,4189
Indonesia,27-mars-22,3077
Indonesia,28-mars-22,2798
Indonesia,29-mars-22,3895
Indonesia,30-mars-22,3840
Indonesia,31-mars-22,3332
Indonesia,1-avr.-22,2930
Indonesia,2-avr.-22,2300
Indonesia,3-avr.-22,1933
Indonesia,4-avr.-22,1661
Indonesia,5-avr.-22,2282
Indonesia,6-avr.-22,2400
Indonesia,7-avr.-22,2089
Indonesia,8-avr.-22,1755
Indonesia,9-avr.-22,1468
Indonesia,10-avr.-22,1071
Indonesia,11-avr.-22,1196
Indonesia,12-avr.-22,1455
Indonesia,13-avr.-22,1551
Indonesia,14-avr.-22,833
Indonesia,15-avr.-22,922
Indonesia,16-avr.-22,602
Indonesia,17-avr.-22,607
Indonesia,18-avr.-22,559
Indonesia,19-avr.-22,837
Indonesia,20-avr.-22,741
Indonesia,21-avr.-22,585
Indonesia,22-avr.-22,651
Indonesia,23-avr.-22,522
Indonesia,24-avr.-22,382
Indonesia,25-avr.-22,317
Indonesia,26-avr.-22,576
Indonesia,27-avr.-22,617
Indonesia,28-avr.-22,412
Indonesia,29-avr.-22,395
Indonesia,30-avr.-22,329
Indonesia,1-mai-22,244
Indonesia,2-mai-22,168
Indonesia,3-mai-22,107
Indonesia,4-mai-22,176
Indonesia,5-mai-22,250
Indonesia,6-mai-22,245
Indonesia,7-mai-22,218
Indonesia,8-mai-22,227
Indonesia,9-mai-22,254
Indonesia,10-mai-22,456
Indonesia,11-mai-22,400
Indonesia,12-mai-22,335
Indonesia,13-mai-22,335
Indonesia,14-mai-22,308
Indonesia,15-mai-22,257
Indonesia,16-mai-22,182
Indonesia,17-mai-22,247
Indonesia,18-mai-22,327
Indonesia,19-mai-22,318
Indonesia,20-mai-22,250
Indonesia,21-mai-22,263
Indonesia,22-mai-22,227
Indonesia,23-mai-22,174
Indonesia,24-mai-22,345
Indonesia,25-mai-22,315
Indonesia,26-mai-22,246
Indonesia,27-mai-22,224
Indonesia,28-mai-22,279
Indonesia,29-mai-22,242
Indonesia,30-mai-22,218
Indonesia,31-mai-22,340
Indonesia,1-juin-22,368
Indonesia,2-juin-22,304
Indonesia,3-juin-22,372
Indonesia,4-juin-22,395
Indonesia,5-juin-22,388
Indonesia,6-juin-22,342
Indonesia,7-juin-22,518
Indonesia,8-juin-22,520
Indonesia,9-juin-22,556
Indonesia,10-juin-22,627
Indonesia,11-juin-22,574
Indonesia,12-juin-22,551
Indonesia,13-juin-22,591
Indonesia,14-juin-22,930
